Time_secs,EPC,PeakRSSI,Drowning
23.6,8561,-100,0
23.7,8561,-100,0
23.8,8561,-100,0
23.9,8561,-100,0
23.90826,8561,-60,0
24,8561,-100,0
24.1,8561,-100,0
24.2,8561,-100,0
24.3,8561,-100,0
24.30778,8561,-58,0
24.4,8561,-100,0
24.5,8561,-100,0
24.6,8561,-100,0
24.7,8561,-100,0
24.70534,8561,-59,0
24.8,8561,-100,0
24.9,8561,-100,0
25,8561,-100,0
25.1,8561,-100,0
25.2,8561,-100,0
25.3,8561,-100,0
25.4,8561,-100,0
25.5,8561,-100,0
25.6,8561,-100,0
25.63939,8561,-60,0
25.7,8561,-100,0
25.8,8561,-100,0
25.9,8561,-100,0
26,8561,-100,0
26.1,8561,-100,0
26.2,8561,-100,0
26.3,8561,-100,0
26.4,8561,-100,0
26.5,8561,-100,0
26.6,8561,-100,0
26.7,8561,-100,0
26.70562,8561,-61,0
26.8,8561,-100,0
26.9,8561,-100,0
27,8561,-100,0
27.1,8561,-100,0
27.2,8561,-100,0
27.3,8561,-100,0
27.4,8561,-100,0
27.5,8561,-100,0
27.6,8561,-100,0
27.6322,8561,-58,0
27.7,8561,-100,0
27.8,8561,-100,0
27.9,8561,-100,0
28,8561,-100,0
28.1,8561,-100,0
28.2,8561,-100,0
28.3,8561,-100,0
28.4,8561,-100,0
28.40655,8561,-58,0
28.5,8561,-100,0
28.6,8561,-100,0
28.7,8561,-100,0
28.73537,8561,-59,0
28.8,8561,-100,0
28.9,8561,-100,0
29,8561,-100,0
29.1,8561,-100,0
29.2,8561,-100,0
29.3,8561,-100,0
29.30169,8561,-60,0
29.4,8561,-100,0
29.5,8561,-100,0
29.6,8561,-100,0
29.7,8561,-100,0
29.703,8561,-59,0
29.8,8561,-100,0
29.9,8561,-100,0
30,8561,-100,0
30.1,8561,-100,0
30.10665,8561,-59,0
30.2,8561,-100,0
30.3,8561,-100,0
30.4,8561,-100,0
30.5,8561,-100,0
30.50102,8561,-58,0
30.6,8561,-100,0
30.7,8561,-100,0
30.8,8561,-100,0
30.9,8561,-100,0
31,8561,-100,0
31.03352,8561,-57,0
31.1,8561,-100,0
31.2,8561,-100,0
31.3,8561,-100,0
31.4,8561,-100,0
31.5,8561,-100,0
31.6,8561,-100,0
31.7,8561,-100,0
31.8,8561,-100,0
31.89943,8561,-59,0
31.9,8561,-100,0
32,8561,-100,0
32.1,8561,-100,0
32.2,8561,-100,0
32.3,8561,-100,0
32.30618,8561,-59,0
32.4,8561,-100,0
32.5,8561,-100,0
32.6,8561,-100,0
32.7,8561,-100,0
32.8,8561,-100,0
32.80359,8561,-58,0
32.9,8561,-100,0
33,8561,-100,0
33.1,8561,-100,0
33.2,8561,-100,0
33.3,8561,-100,0
33.4,8561,-100,0
33.5,8561,-100,0
33.6,8561,-100,0
33.7,8561,-100,0
33.8,8561,-100,0
33.9,8561,-100,0
34,8561,-100,0
34.00175,8561,-63,0
34.1,8561,-100,0
34.2,8561,-100,0
34.3,8561,-100,0
34.4,8561,-100,0
34.40118,8561,-65,0
34.5,8561,-100,0
34.6,8561,-100,0
34.7,8561,-100,0
34.8,8561,-100,0
34.80274,8561,-64,0
34.9,8561,-100,0
35,8561,-100,0
35.1,8561,-100,0
35.2,8561,-100,0
35.3,8561,-100,0
35.35261,8561,-66,0
35.4,8561,-100,0
35.5,8561,-100,0
35.6,8561,-100,0
35.7,8561,-100,0
35.8,8561,-100,0
35.9,8561,-100,0
36,8561,-100,0
36.1,8561,-100,0
36.11046,8561,-66,0
36.2,8561,-100,0
36.3,8561,-100,0
36.4,8561,-100,0
36.5,8561,-100,0
36.50667,8561,-65,0
36.6,8561,-100,0
36.7,8561,-100,0
36.8,8561,-100,0
36.9,8561,-100,0
36.97413,8561,-63,0
37,8561,-100,0
37.1,8561,-100,0
